<1|Room 1.mp4>,<2|Room 2.mp4>,<3|Room 3.mp4>,<4|Room 4.mp4>,<5|Room 5.mp4>,<6|Room 6.mp4>,
C,6,177,,,1,אין התייחסות לשימור תכונה לאחר גרירה
C,6,247,,,1,התבססות על נתונים שאינם בשאלה
C,6,439,,,2,טענה בעקבות חקירה ביישומון
C,6,455,,,2,הסכמה על טענה
C,6,494,,,2,סיום משימה ומעבר למשימה הבאה
C,6,615,,,2,טענה בעקבות חקירה ביישומון
C,6,615,,,2,הסכמה על טענה
C,6,648,,,2,מעבר לחשיבה דדוקטיבית
C,6,736,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,6,766,,,2,שתי דרכי הוכחה מוצעות במקביל
C,6,835,,,1,התבססות על נתונים שאינם בשאלה
C,6,846,,,2,אי הסכמה
C,6,977,,,1,התבססות על נתונים שאינם בשאלה
C,6,999,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,6,1062,,,1,ניסוח הטענה אינו מדויק
C,6,1085,,,2,סיום משימה ומעבר למשימה הבאה
C,6,1177,,,2,הסכמה על טענה
U,6,300,<Shira|14>,<Adam|7>,<Micha-Sw|9>,
U,6,600,<Shira|25>,<Adam|15>,<Micha-Sw|23>,
U,6,900,<Shira|42>,<Adam|32>,<Micha-Sw|39>,
U,6,1200,<Shira|60>,<Adam|50>,<Micha-Sw|55>,
C,5,151,,,2,טענה בעקבות חקירה ביישומון
C,5,181,,,2,הגעה לתובנה
C,5,282,,,2,טענה בעקבות חקירה ביישומון
C,5,311,,,2,הגעה לתובנה
C,5,385,,,1,סיום משימה ומעבר למשימה הבאה
C,5,496,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,5,551,,,2,מעבר לחשיבה דדוקטיבית
C,5,595,,,2,שתי דרכי הוכחה מוצעות במקביל
C,5,613,,,2,הגעה לתובנה
C,5,703,,,1,סיום משימה ומעבר למשימה הבאה
C,5,832,,,2,הוכחה לא מפורטת
C,5,848,,,2,הסכמה על טענה
C,5,887,,,2,הסכמה מהירה
C,5,978,,,2,מעבר לחשיבה דדוקטיבית
C,5,1047,,,2,אי הסכמה
C,5,1159,,,2,הגעה לתובנה
C,5,1190,,,2,הגעה לתובנה
C,5,1198,,,1,סיום פעילות
U,5,300,<Avia|18>,<Neta|10>,,
U,5,600,<Avia|35>,<Neta|25>,,
U,5,900,<Avia|56>,<Neta|39>,,
U,5,1200,<Avia|75>,<Neta|59>,,
C,3,125,,,2,טענה בעקבות חקירה ביישומון
C,3,234,,,2,אי הסכמה
C,3,295,,,2,הסכמה מהירה
C,3,334,,,1,סיום משימה ומעבר למשימה הבאה
C,3,454,,,2,מעבר לחשיבה דדוקטיבית
C,3,483,,,2,הסכמה על טענה
C,3,586,,,2,אי הסכמה
C,3,609,,,1,סיום משימה ומעבר למשימה הבאה
C,3,639,,,2,הגעה לתובנה
C,3,726,,,2,טענה בעקבות חקירה ביישומון
C,3,742,,,2,הסכמה על טענה
C,3,820,,,2,הגעה לתובנה
C,3,1000,,,2,הגעה לתובנה
C,3,1041,,,2,הסכמה מהירה
C,3,1121,,,2,מעבר לחשיבה דדוקטיבית
C,3,1190,,,1,סיום פעילות
U,3,300,<Anna|14>,<Yael|15>,<Guy|14>,
U,3,600,<Anna|29>,<Yael|29>,<Guy|28>,
U,3,900,<Anna|39>,<Yael|43>,<Guy|48>,
U,3,1200,<Anna|59>,<Yael|54>,<Guy|66>,
C,4,76,,,2,טענה בעקבות חקירה ביישומון
C,4,117,,,2,ניסוח הטענה אינו מדויק
C,4,294,,,1,אין התייחסות לשימור תכונה לאחר גרירה
C,4,189,,,2,אי הסכמה
C,4,228,,,2,אי הסכמה
C,4,322,,,1,סיום משימה ומעבר למשימה הבאה
C,4,390,,,2,מעבר לחשיבה דדוקטיבית
C,4,474,,,2,שתי דרכי הוכחה מוצעות במקביל
C,4,502,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,4,532,,,2,אי הסכמה
C,4,574,,,1,התבססות על מדידה בנוסף לנתוני השאלה
C,4,610,,,2,אי הסכמה
C,4,660,,,1,סיום משימה ומעבר למשימה הבאה
C,4,705,,,2,הסכמה על טענה
C,4,776,,,2,מעבר לחשיבה דדוקטיבית
C,4,856,,,2,טענה בעקבות חקירה ביישומון
C,4,900,,,2,ניסוח הטענה אינו מדויק
C,4,930,,,2,אי הסכמה
C,4,1140,,,2,הסכמה מהירה
C,4,1195,,,1,סיום פעילות
U,4,300,<Yuval|21>,<Amit|26>,,
U,4,600,<Yuval|40>,<Amit|48>,,
U,4,900,<Yuval|67>,<Amit|66>,,
U,4,1200,<Yuval|83>,<Amit|88>,,
C,2,158,,,1,שיח לא מתמטי
C,2,216,,,1,אין פעילות ביישומון
C,2,275,,,1,שיח לא מתמטי
C,2,435,,,1,יש תלמיד שאינו משתמש ביישומון
C,2,560,,,1,שיח לא מתמטי
C,2,664,,,1,אין התייחסות לשימור תכונה לאחר גרירה
C,2,825,,,1,שיח לא מתמטי
C,2,882,,,1,אין פעילות ביישומון
C,2,987,,,1,אין פעילות ביישומון
C,2,1086,,,2,ניסוח הטענה אינו מדויק
U,2,300,<Noa|12>,<Shani|23>,<Ety|21>,
U,2,600,<Noa|31>,<Shani|40>,<Ety|28>,
U,2,900,<Noa|49>,<Shani|56>,<Ety|28>,
U,2,1200,<Noa|70>,<Shani|81>,<Ety|28>,
C,1,85,,,2,טענה בעקבות חקירה ביישומון
C,1,183,,,2,הסכמה על טענה
C,1,237,,,2,ניסוח הטענה אינו מדויק
C,1,342,,,2,ניסוח הטענה אינו מדויק
C,1,357,,,1,סיום משימה ומעבר למשימה הבאה
C,1,528,,,2,הגעה לתובנה
C,1,638,,,2,הגעה לתובנה
C,1,720,,,2,מעבר לחשיבה דדוקטיבית
C,1,822,,,2,הסכמה על טענה
C,1,900,,,2,הגעה לתובנה
C,1,910,,,1,סיום משימה ומעבר למשימה הבאה
C,1,1015,,,2,טענה בעקבות חקירה ביישומון
C,1,1079,,,2,הגעה לתובנה
C,1,1115,,,2,אי הסכמה
C,1,1167,,,2,הסכמה מהירה
U,1,300,<Maya|12>,<Tamar|23>,<Amir|21>,
U,1,600,<Maya|12>,<Tamar|23>,<Amir|21>,
U,1,900,<Maya|12>,<Tamar|23>,<Amir|21>,
U,1,1200,<Maya|12>,<Tamar|23>,<Amir|21>,
